Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),heating,cooling,fans,humid
 08/11  03:00:00,15.025,14.36401321,93.375,0.010132057,2.391666667,151.6666667,0,0,0.042857143,0
 08/11  04:00:00,15.0375,14.34675126,93,0.010102715,2.891666667,183.3333333,0,0,0.042857143,0
 08/11  05:00:00,14.3125,13.84818495,94.875,0.009844609,2.516666667,194.1666667,0,0,0.042857143,0
 08/11  06:00:00,14.025,13.5205186,94.75,0.0096341,1.458333333,166.6666667,0.028627286,0,0.057463524,0
 08/11  07:00:00,15.1,14.08335326,90.25,0.009819739,1.641666667,161.6666667,0.007473416,0,0.045403535,0
 08/11  08:00:00,15.8875,14.33527559,84.875,0.009738386,2.391666667,170,0,0,0.049150893,0
 08/11  09:00:00,16.375,14.37410045,81.125,0.009579656,2.308333333,181.6666667,0,0,0.053646429,0
 08/11  10:00:00,17.35,14.66179391,75.625,0.009503329,2.683333333,201.6666667,0,0.032718115,0.053722217,0
 08/11  11:00:00,17.925,14.96138589,73.625,0.009581602,2.808333333,210,0,0.061718248,0.062892342,0
 08/11  12:00:00,18,14.87930395,72.125,0.009455389,2.6,210,0,0.016931012,0.056967155,0
 08/11  13:00:00,18.125,15.04553921,72.875,0.009593498,1.958333333,221.6666667,0,0.333179505,0.122288599,0
 08/11  14:00:00,17.7,15.247361,77.75,0.009979561,1.208333333,206.6666667,0,0.268892238,0.111423256,0
 08/11  15:00:00,18.9,15.904447,74.375,0.010292689,0.416666667,229.1666667,0,0.235051631,0.106717729,0
 08/11  16:00:00,19.8625,15.89417136,66.625,0.00984085,1.808333333,307.5,0,0.426022689,0.144499506,0
 08/11  17:00:00,16.4,13.98205393,76.5,0.009043013,1.875,225.8333333,0,0.192500476,0.093905253,0
 08/11  18:00:00,14.175,13.19289358,90.25,0.009199736,1,145,0,0.041129987,0.061364074,0
 08/11  19:00:00,14.4125,13.98036401,95.875,0.009946978,0.416666667,241.6666667,0,0.231618814,0.09820106,0
 08/11  20:00:00,14.6625,14.19423466,95.125,0.010063394,1.225,354.1666667,0,0.034981532,0.060176137,0
 08/11  21:00:00,14.7625,14.11152814,93.375,0.009925752,2.391666667,121.6666667,0,0.012351063,0.052459623,0
 08/11  22:00:00,14.4875,13.88273329,93.625,0.009777956,1.666666667,21.66666667,0,0.08589213,0.063213147,0
 08/11  23:00:00,14.425,13.83395756,94,0.009757375,1.291666667,180.8333333,0,0.00860358,0.053881769,0
 08/11  24:00:00,14.6875,14.20311241,95.25,0.010045632,2.141666667,345.8333333,0,0,0.045522065,0
 08/12  01:00:00,14.7375,14.350866,96,0.010178969,1.666666667,344.1666667,0,0,0.042857143,0
 08/12  02:00:00,14.7625,14.19436807,94.125,0.010001196,1.641666667,291.6666667,0,0,0.042857143,0
 08/12  03:00:00,14.55,13.88288721,93,0.009737827,2.391666667,354.1666667,0,0,0.046453571,0
 08/12  04:00:00,14.4625,13.71929416,92.375,0.009602861,2.6,295.8333333,0.080686419,0,0.061200425,0
 08/12  05:00:00,14.375,13.66249696,92.625,0.009567493,2.6,0,0,0,0.042857143,0
 08/12  06:00:00,14.175,13.50772577,93,0.00948174,2.6,348.3333333,0,0,0.042857143,0
 08/12  07:00:00,14.2875,13.54041993,92.375,0.009472647,2.308333333,345.8333333,0.056354672,0,0.061098257,0
 08/12  08:00:00,14.8375,13.96212847,91.375,0.009698597,2.683333333,295.8333333,0.02825061,0,0.054630421,0
 08/12  09:00:00,15.9125,14.45297655,86,0.00979006,3.391666667,5.833333333,0,0,0.046453571,0
 08/12  10:00:00,17.275,14.86613823,78,0.009678347,4.183333333,4.166666667,0,0,0.053646429,0
 08/12  11:00:00,17.8,15.02950495,75,0.009612012,4.016666667,0,0,0.043310981,0.054657131,0
 08/12  12:00:00,18.675,15.42975903,71.875,0.009719943,3.6,348.3333333,0,0.081109428,0.067464895,0
 08/12  13:00:00,18.5125,15.95971742,77.5,0.0103505,3.891666667,291.6666667,0,0.113955034,0.077024786,0
 08/12  14:00:00,18.475,16.31324203,80.75,0.010807267,4.1,5.833333333,0,0.454408036,0.150630602,0
 08/12  15:00:00,19.5125,16.66706559,75.625,0.010805814,4.683333333,232.5,0,0.253651503,0.110215622,0
 08/12  16:00:00,19.5,16.5963614,74.875,0.010690736,4.516666667,334.1666667,0,0.279064166,0.11310032,0
 08/12  17:00:00,18.2,16.38187175,83.5,0.010964084,2.583333333,341.6666667,0,0.327863829,0.120636792,0
 08/12  18:00:00,17.725,16.4248398,88,0.01123674,2.141666667,344.1666667,0,0.087389456,0.072540806,0
 08/12  19:00:00,17.675,16.52085502,89.25,0.011359043,2.6,334.1666667,0,0.17512201,0.088843396,0
 08/12  20:00:00,17.1625,16.19765547,90.625,0.011177413,2.308333333,330,0,0.197756388,0.091167832,0
 08/12  21:00:00,16.65,15.91536785,92.875,0.011062419,2.1,335.8333333,0,0,0.053646429,0
 08/12  22:00:00,16.1875,15.59629423,94,0.010886864,2.1,340,0,0.094667024,0.066238261,0
 08/12  23:00:00,15.8125,15.21958373,94,0.010618706,1.75,340,0,0.070284115,0.061128159,0
 08/12  24:00:00,15.1375,14.34699408,91.5,0.009924522,1.5,340,0,0,0.051053546,0
 08/13  01:00:00,14.675,13.5835621,88.75,0.009305856,2.725,345.8333333,0,0,0.042857143,0
 08/13  02:00:00,14.35,13.31016999,89.25,0.009148736,3.016666667,350,0,0,0.042857143,0
 08/13  03:00:00,14.575,13.39560581,88.125,0.009162614,3.183333333,344.1666667,0,0,0.042857143,0
 08/13  04:00:00,14.8625,13.50766778,86.375,0.009152943,3.016666667,345.8333333,0.077843532,0,0.060936943,0
 08/13  05:00:00,15.0875,13.55259663,84.75,0.009110751,3.475,295.8333333,0.045773044,0,0.053768867,0
 08/13  06:00:00,15.325,13.69677541,84,0.009163579,3.808333333,354.1666667,0,0,0.042857143,0
 08/13  07:00:00,15.025,13.62263593,85.875,0.009195319,3.6,338.3333333,0.076136384,0,0.061551579,0
 08/13  08:00:00,14.9875,13.56008314,85.75,0.009154319,3.6,335.8333333,0.155936891,0,0.078845815,0
 08/13  09:00:00,15.6,13.79397337,82.5,0.009153715,4.475,340,0.003948477,0,0.043497982,0
 08/13  10:00:00,17.3375,14.46057447,74.125,0.009186243,5.741666667,291.6666667,0,0,0.052747321,0
 08/13  11:00:00,18.95,15.43796542,70,0.009590816,7.075,354.1666667,0,0,0.049867747,0
 08/13  12:00:00,19.9,16.38645317,70.625,0.010274984,7.7,344.1666667,0,0.091748029,0.064602112,0
 08/13  13:00:00,20.3875,16.90075717,71,0.010666748,7.7,345.8333333,0,0,0.053646429,0
 08/13  14:00:00,20.875,17.3320554,71,0.010989761,7.116666667,344.1666667,0,0.285771345,0.111410933,0
 08/13  15:00:00,21.4125,17.5921405,69.125,0.011081671,6.991666667,345.8333333,0,0.326349961,0.121330758,0
 08/13  16:00:00,21.725,17.79656626,68.625,0.011198621,6.616666667,295.8333333,0,0.168870746,0.091007387,0
 08/13  17:00:00,22.05,18.05860561,68.375,0.011392667,6.2,5.833333333,0,0.396967518,0.135476122,0
 08/13  18:00:00,21.575,17.86126309,69.875,0.011320724,6.2,10,0,0.227100491,0.101287494,0
 08/13  19:00:00,20.5125,17.14239473,71.625,0.010874951,5.558333333,15.83333333,0,0.124593777,0.080430715,0
 08/13  20:00:00,19.85,16.63891707,72.625,0.010554371,3.933333333,20,0,0.291893268,0.111485615,0
 08/13  21:00:00,19.45,16.39739698,73.625,0.010429176,3.1,14.16666667,0,0.045407411,0.062525639,0
 08/13  22:00:00,18.9875,16.23864059,75.875,0.010429038,3.1,10,0,0.11588557,0.074711691,0
 08/13  23:00:00,18.55,15.90996312,76.375,0.010232253,3.975,4.166666667,0,0.159838947,0.080463713,0
 08/13  24:00:00,18.15,15.62637933,77.25,0.010073275,3.725,354.1666667,0,0.036357061,0.058595209,0
 08/14  01:00:00,17.6875,15.36294518,78.625,0.009965128,3.391666667,295.8333333,0,0.016044604,0.049198552,0
 08/14  02:00:00,17.375,15.17238247,79.625,0.009885628,3.891666667,0,0,0.011321523,0.045518894,0
 08/14  03:00:00,17.1125,15.10658103,81.25,0.009919181,3.808333333,354.1666667,0,0,0.042857143,0
 08/14  04:00:00,16.8125,14.91564947,82,0.009831184,3.6,350,0,0,0.042857143,0
 08/14  05:00:00,16.45,14.76584606,83.875,0.009813928,3.308333333,295.8333333,0,0,0.050949107,0
 08/14  06:00:00,16.3,14.74199737,85,0.009850585,4.616666667,0,0,0,0.044000443,0
 08/14  07:00:00,16.3,14.74224428,85,0.00984646,5.058333333,0,0,0,0.044655357,0
 08/14  08:00:00,16.4875,14.72090378,83.125,0.009744257,4.308333333,348.3333333,0,0,0.053646429,0
 08/14  09:00:00,16.725,14.75074257,81.375,0.009672526,3.808333333,177.5,0.004457767,0,0.048766575,0
 08/14  10:00:00,17.4875,15.19009323,79.125,0.009860333,3.891666667,4.166666667,0,0,0.046453571,0
 08/14  11:00:00,18.775,15.88961699,74.875,0.010124242,4.391666667,5.833333333,0,0,0.053646429,0
 08/14  12:00:00,19.7375,16.33086347,71.125,0.010222659,4.308333333,178.3333333,0,0.19892473,0.09124557,0
 08/14  13:00:00,20.4375,16.88281297,70.625,0.010583753,4.391666667,295.8333333,0,0.365462907,0.132911055,0
 08/14  14:00:00,21.325,17.02931425,65.375,0.010394486,4.6,11.66666667,0,0.452348666,0.158343095,0
 08/14  15:00:00,21.825,16.99187664,62,0.010128147,4.308333333,25.83333333,0,0.764094151,0.22353707,0
 08/14  16:00:00,21.4625,16.78792314,62.625,0.01002058,4.1,24.16666667,0,0.687242769,0.209877617,0
 08/14  17:00:00,21.075,16.48702842,63,0.009834866,4.1,25.83333333,0,0.521664093,0.17633039,0
